hit_id,analysis_id,conversation_id,tag_id,tag_name,created_at,reason
8662,3682,6556,28,异味,2026-02-02 08:35:59.290949,客户明确反馈商品香味/味道过大，属于异味问题。
8715,3707,6604,26,起球,2026-02-02 08:42:26.710486,买家直接询问是否会起球，属于起球相关关注点。
8726,3714,6619,33,配件缺失/少件,2026-02-02 08:43:45.443152,客户询问该商品是否配皮带，属于配件是否随商品发放的关注点；客服仅回复“没有的呢”，未进一步说明是否可另购/页面是否有赠送说明等，但核心问题为“是否有配皮带”。
8894,3788,6793,26,起球,2026-02-02 09:02:40.881950,买家明确询问是否会起球，属于起球相关关注点。
9054,3854,6976,26,起球,2026-02-02 09:20:40.335289,买家明确询问是否会起球，属于起球相关顾虑/潜在质量问题点。
9096,3870,7018,24,色差,2026-02-02 09:25:26.691608,客户反馈去年买的白色“不是直白”，表达对颜色与预期不符的感受，属于色差/颜色不符合预期的投诉点。
9330,3974,7216,30,尺码偏差（偏大/偏小/不准）,2026-02-02 09:52:39.415781,客户明确质疑尺码/长度数据不准确（认为M裤长100不可能看起来那么长），属于对尺码数据准确性的投诉点。
9704,4185,488,26,起球,2026-02-03 04:19:15.453484,客户明确咨询/提到起球问题，属于起球相关质量关注点。
9857,4271,7606,26,起球,2026-02-03 05:11:24.348742,客户明确询问是否起球，属于起球相关质量关注点。
10885,4874,7943,26,起球,2026-02-03 05:49:17.954265,客户明确询问是否会起球，属于起球相关质量关注点。
10931,4897,7615,26,起球,2026-02-03 05:50:57.064199,买家明确询问商品是否起球，属于起球相关质量关注点。
10982,4924,993,26,起球,2026-02-03 05:52:34.687485,买家明确咨询是否起球，属于起球相关质量关注点。
11062,4979,7681,24,色差,2026-02-03 05:55:45.105313,客户明确提出“色差/图片颜色不一样”，属于色差相关咨询/担忧。
11198,5050,7846,26,起球,2026-02-03 06:00:33.883434,客户明确询问是否起球，属于起球相关关注点。
11292,5099,7843,24,色差,2026-02-03 06:04:07.400620,客户明确询问是否存在色差，属于色差相关关注点。
11346,5136,2363,26,起球,2026-02-03 06:06:24.526458,客户明确咨询商品是否容易起球，属于起球相关质量关注点。
11354,5143,7836,26,起球,2026-02-03 06:06:41.903163,客户明确咨询是否会起球，属于起球相关质量关注点。
11405,5176,990,26,起球,2026-02-03 06:08:43.278899,客户明确咨询商品是否起球，属于起球相关问题。
11708,5333,8463,26,起球,2026-02-04 02:45:00.685405,客户明确咨询并担忧商品起球问题，属于起球相关质量关注点。
11897,5430,8558,26,起球,2026-02-04 03:05:52.060559,买家明确询问是否会起球，属于起球相关关注点/潜在质量担忧。
12005,5480,8415,26,起球,2026-02-04 03:16:34.659636,客户明确询问是否会起球，属于起球相关质量关注点。
